Day,Amount Sold 
0-1,0.0
0-2,0.0
0-3,0.0
0-4,0.0
0-5,2.0
0-6,4.0
0-7,0.0
0-8,10.0
0-9,0.0
0-10,0.0
0-11,0.0
0-12,3.0
1-1,6.0
1-2,6.0
1-3,2.0
1-4,4.0
1-5,11.0
1-6,10.0
1-7,11.0
1-8,6.0
1-9,8.0
1-10,6.0
1-11,2.0
1-12,16.0
2-1,9.0
2-2,18.0
2-3,10.0
2-4,15.0
2-5,10.0
2-6,10.0
2-7,3.0
2-8,7.0
2-9,20.0
2-10,19.0
2-11,28.0
2-12,23.0
3-1,34.0
3-2,21.0
3-3,15.0
3-4,26.0
3-5,37.0
3-6,68.0
3-7,30.0
3-8,33.0
3-9,29.0
3-10,25.0
3-11,25.0
3-12,46.0
4-1,44.0
4-2,46.0
4-3,32.0
4-4,62.0
4-5,45.0
4-6,39.0
4-7,34.0
4-8,72.0
4-9,45.0
4-10,29.0
4-11,17.0
4-12,22.0
5-1,44.0
5-2,46.0
5-3,54.0
5-4,38.0
5-5,45.0
5-6,39.0
5-7,34.0
5-8,13.0
5-9,0.0
5-10,26.0
5-11,21.0
5-12,36.0
6-1,30.0
6-2,22.0
6-3,25.0
6-4,28.0
6-5,28.0
6-6,17.0
6-7,19.0
6-8,25.0
6-9,17.0
6-10,14.0
6-11,8.0
6-12,6.0
7-1,12.0
7-2,7.0
7-3,18.0
7-4,3.0
7-5,4.0
7-6,8.0
7-7,6.0
7-8,2.0
7-9,13.0
7-10,0.0
7-11,2.0
7-12,4.0
8-1,6.0
8-2,6.0
8-3,15.0
8-4,6.0
8-5,4.0
8-6,8.0
8-7,8.0
8-8,6.0
8-9,10.0
8-10,14.0
8-11,8.0
8-12,4.0
9-1,12.0
9-2,11.0
9-3,21.0
9-4,4.0
9-5,3.0
9-6,8.0
9-7,8.0
9-8,8.0
