Day,Amount Sold 
0-1,0.0
0-2,2.0
0-3,4.0
0-4,0.0
0-5,8.0
0-6,0.0
0-7,6.0
0-8,3.0
0-9,0.0
0-10,3.0
0-11,2.0
0-12,2.0
1-1,2.0
1-2,10.0
1-3,2.0
1-4,43.0
1-5,53.0
1-6,69.0
1-7,87.0
1-8,57.0
1-9,78.0
1-10,32.0
1-11,118.0
1-12,48.0
2-1,149.0
2-2,48.0
2-3,86.0
2-4,177.0
2-5,61.0
2-6,163.0
2-7,132.0
2-8,182.0
2-9,103.0
2-10,208.0
2-11,98.0
2-12,116.0
3-1,122.0
3-2,202.0
3-3,197.0
3-4,219.0
3-5,201.0
3-6,183.0
3-7,198.0
3-8,315.0
3-9,264.0
3-10,166.0
3-11,155.0
3-12,184.0
4-1,200.0
4-2,267.0
4-3,273.0
4-4,167.0
4-5,148.0
4-6,214.0
4-7,144.0
4-8,259.0
4-9,234.0
4-10,223.0
4-11,152.0
4-12,202.0
5-1,144.0
5-2,170.0
5-3,188.0
5-4,177.0
5-5,230.0
5-6,147.0
5-7,197.0
5-8,103.0
5-9,115.0
5-10,143.0
5-11,169.0
5-12,177.0
6-1,141.0
6-2,152.0
6-3,121.0
6-4,177.0
6-5,128.0
6-6,111.0
6-7,102.0
6-8,149.0
6-9,170.0
6-10,86.0
6-11,172.0
6-12,76.0
7-1,114.0
7-2,59.0
7-3,59.0
7-4,100.0
7-5,32.0
7-6,74.0
7-7,73.0
7-8,59.0
7-9,91.0
7-10,30.0
7-11,39.0
7-12,45.0
8-1,29.0
8-2,37.0
8-3,21.0
8-4,42.0
8-5,52.0
8-6,39.0
8-7,24.0
8-8,40.0
8-9,12.0
8-10,35.0
8-11,50.0
8-12,31.0
9-1,27.0
9-2,31.0
9-3,39.0
9-4,18.0
9-5,36.0
9-6,17.0
9-7,14.0
9-8,26.0
